Word,Frequency,PMI,R_Entropy,L_Entropy
筋,298,80,5.3713979136858,5.742128985122145
米,297,80,5.161350399006811,4.78793504871561
洗,296,80,4.857792529813211,5.303328224313373
椒,296,80,4.273595648969156,2.1429509935516204
雄,296,80,2.066394878921451,2.785424140114209
黑,294,80,5.631720060049936,5.750430750180218
痢,290,80,4.455102489441701,3.6023654179097497
浓,289,80,3.2894693340743264,5.8480792499346785
体,288,80,6.099056829646218,3.534072276453126
涂,288,80,3.766996840301606,5.39196658837837
已,287,80,5.889660746141233,5.378739541058968
结,287,80,5.496148167454323,6.014916995718368
浮,287,80,4.650544257755908,4.648202744794335
熟,286,80,5.512374476941669,5.781840352315558
里,286,80,5.309314158736322,4.793754408947616
再,286,80,3.3310141667350717,2.4753183726219765
清,282,80,4.581475510147467,4.972269952604072
膝,281,80,5.285829174490594,3.1743332822273147
渍,281,80,4.614343609315917,4.490407161479454
漏,281,80,3.82459396058291,4.714199081124439
角,280,80,5.4568189435194325,3.4604703724989054
必,279,80,6.262292773710103,5.778432305212299
平,279,80,4.28108607529051,5.592788139614598
强,277,80,5.567464273035723,5.525762814162238
随,277,80,4.712788946503149,5.563589097793954
背,274,80,5.313803251523287,4.596367800723901
从,273,80,6.1288500093805105,5.8271507013008
坚,269,80,5.153968710503172,5.527999207523319
盛,267,80,5.587217131015474,4.992363651916506
本,267,80,5.143042589481231,4.434312427982691
卧,265,80,5.793572732686376,5.337738028020942
关,265,80,3.6773637916364796,4.782467217305534
次,264,80,4.142451892655373,4.863070754223673
龙,263,80,2.714990381285806,4.068472592891673
稍,262,80,3.594299222789392,3.4203557346202635
易,261,80,4.742833277881663,5.039948345009259
难,258,80,5.123368790332098,5.241710700764296
花,258,80,4.260824460381872,3.7767628297765623
节,256,80,5.476130518718311,5.141762022535383
马,256,80,5.398430347674314,5.126533665553888
佳,256,80,2.9219280948873623,4.403447241266675
物,254,80,6.381483395010966,5.653633764015706
引,253,80,5.515344632773436,4.993183476990715
泄,253,80,4.485347138862557,5.824651913905999
紫,253,80,2.9691297560736776,5.024356485634901
泻,252,80,4.219720626528866,4.023851153976915
邪,251,80,4.4705607419798365,5.675831930737683
鬼,248,80,4.838910003546331,4.991505748349124
甚,247,80,4.2145690065304935,5.946826439310424
甲,246,80,4.331676723372266,3.72726773451645
损,244,80,5.1984415485188675,4.254604802945817
胁,244,80,3.841351821307792,4.264219152494286
志,243,80,4.763414736171743,2.168510241444574
指,241,80,5.485133260472786,4.676753180351136
金,241,80,3.578449290346589,3.672145009419257
粉,239,80,4.9409927796270585,4.456424162810863
俞,238,80,4.053672414428969,4.213547318550773
脐,238,80,3.9904661887354234,4.9588525488366555
咽,237,80,4.181822486230681,5.961371648474167
沉,236,80,4.751388509695839,4.298901342272912
焦,235,80,5.213963185778648,3.4724344346525293
但,233,80,6.601833247526537,4.907084752179352
